Batsman,Opponent,Total Runs,Venue
NV Ojha,Kings XI Punjab,28,Himachal Pradesh Cricket Association Stadium
PC Valthaty,Delhi Daredevils,62,Himachal Pradesh Cricket Association Stadium
PP Chawla,Delhi Daredevils,1,Himachal Pradesh Cricket Association Stadium
RJ Harris,Delhi Daredevils,2,Himachal Pradesh Cricket Association Stadium
S Sriram,Kings XI Punjab,4,Himachal Pradesh Cricket Association Stadium
SE Marsh,Delhi Daredevils,46,Himachal Pradesh Cricket Association Stadium
TR Birt,Kings XI Punjab,16,Himachal Pradesh Cricket Association Stadium
VR Aaron,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
Y Nagar,Kings XI Punjab,10,Himachal Pradesh Cricket Association Stadium
Y Venugopal Rao,Kings XI Punjab,16,Himachal Pradesh Cricket Association Stadium
AA Chavan,Kochi Tuskers Kerala,1,Holkar Cricket Stadium
AL Menaria,Kochi Tuskers Kerala,31,Holkar Cricket Stadium
AM Rahane,Kochi Tuskers Kerala,8,Holkar Cricket Stadium
BB McCullum,Rajasthan Royals,29,Holkar Cricket Stadium
BJ Hodge,Rajasthan Royals,33,Holkar Cricket Stadium
DPMD Jayawardene,Rajasthan Royals,6,Holkar Cricket Stadium
FY Fazal,Kochi Tuskers Kerala,16,Holkar Cricket Stadium
JDP Oram,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
ND Doshi,Kochi Tuskers Kerala,0,Holkar Cricket Stadium
PA Patel,Rajasthan Royals,21,Holkar Cricket Stadium
PR Shah,Kochi Tuskers Kerala,5,Holkar Cricket Stadium
R Dravid,Kochi Tuskers Kerala,1,Holkar Cricket Stadium
SK Warne,Kochi Tuskers Kerala,2,Holkar Cricket Stadium
SR Watson,Kochi Tuskers Kerala,20,Holkar Cricket Stadium
SW Tait,Kochi Tuskers Kerala,10,Holkar Cricket Stadium
B Chipli,Pune Warriors,5,Dr DY Patil Sports Academy
B Kumar,Deccan Chargers,1,Dr DY Patil Sports Academy
CJ Ferguson,Deccan Chargers,11,Dr DY Patil Sports Academy
DT Christian,Pune Warriors,14,Dr DY Patil Sports Academy
JD Ryder,Deccan Chargers,18,Dr DY Patil Sports Academy
JP Duminy,Pune Warriors,23,Dr DY Patil Sports Academy
KC Sangakkara,Pune Warriors,25,Dr DY Patil Sports Academy
M Manhas,Deccan Chargers,0,Dr DY Patil Sports Academy
MK Pandey,Deccan Chargers,23,Dr DY Patil Sports Academy
MR Marsh,Deccan Chargers,37,Dr DY Patil Sports Academy
RV Uthappa,Deccan Chargers,4,Dr DY Patil Sports Academy
S Dhawan,Pune Warriors,28,Dr DY Patil Sports Academy
S Sohal,Pune Warriors,34,Dr DY Patil Sports Academy
SC Ganguly,Deccan Chargers,0,Dr DY Patil Sports Academy
WD Parnell,Deccan Chargers,16,Dr DY Patil Sports Academy
Yuvraj Singh,Deccan Chargers,23,Dr DY Patil Sports Academy
A Mithun,Kings XI Punjab,10,Himachal Pradesh Cricket Association Stadium
AB de Villiers,Kings XI Punjab,34,Himachal Pradesh Cricket Association Stadium
AC Gilchrist,Royal Challengers Bangalore,106,Himachal Pradesh Cricket Association Stadium
AUK Pathan,Kings XI Punjab,7,Himachal Pradesh Cricket Association Stadium
CH Gayle,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
CK Langeveldt,Kings XI Punjab,8,Himachal Pradesh Cricket Association Stadium
DJ Hussey,Royal Challengers Bangalore,0,Himachal Pradesh Cricket Association Stadium
JJ van der Wath,Kings XI Punjab,4,Himachal Pradesh Cricket Association Stadium
KB Arun Karthik,Kings XI Punjab,6,Himachal Pradesh Cricket Association Stadium
M Kaif,Kings XI Punjab,15,Himachal Pradesh Cricket Association Stadium
PC Valthaty,Royal Challengers Bangalore,20,Himachal Pradesh Cricket Association Stadium
S Aravind,Kings XI Punjab,11,Himachal Pradesh Cricket Association Stadium
SE Marsh,Royal Challengers Bangalore,79,Himachal Pradesh Cricket Association Stadium
SS Tiwary,Kings XI Punjab,6,Himachal Pradesh Cricket Association Stadium
V Kohli,Kings XI Punjab,11,Himachal Pradesh Cricket Association Stadium
BB McCullum,Chennai Super Kings,33,"MA Chidambaram Stadium, Chepauk"
BJ Hodge,Chennai Super Kings,51,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Kochi Tuskers Kerala,13,"MA Chidambaram Stadium, Chepauk"
KM Jadhav,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
M Vijay,Kochi Tuskers Kerala,16,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Kochi Tuskers Kerala,32,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Kochi Tuskers Kerala,9,"MA Chidambaram Stadium, Chepauk"
OA Shah,Chennai Super Kings,3,"MA Chidambaram Stadium, Chepauk"
PA Patel,Chennai Super Kings,6,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,Chennai Super Kings,19,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Kochi Tuskers Kerala,13,"MA Chidambaram Stadium, Chepauk"
SK Raina,Kochi Tuskers Kerala,19,"MA Chidambaram Stadium, Chepauk"
WP Saha,Kochi Tuskers Kerala,46,"MA Chidambaram Stadium, Chepauk"
Y Gnaneswara Rao,Chennai Super Kings,19,"MA Chidambaram Stadium, Chepauk"
CJ Ferguson,Kolkata Knight Riders,16,Dr DY Patil Sports Academy
G Gambhir,Pune Warriors,54,Dr DY Patil Sports Academy
JD Ryder,Kolkata Knight Riders,1,Dr DY Patil Sports Academy
MK Pandey,Kolkata Knight Riders,16,Dr DY Patil Sports Academy
MK Tiwary,Pune Warriors,24,Dr DY Patil Sports Academy
R Bhatia,Pune Warriors,1,Dr DY Patil Sports Academy
RV Uthappa,Kolkata Knight Riders,12,Dr DY Patil Sports Academy
S Rana,Kolkata Knight Riders,18,Dr DY Patil Sports Academy
SC Ganguly,Kolkata Knight Riders,18,Dr DY Patil Sports Academy
SP Goswami,Pune Warriors,6,Dr DY Patil Sports Academy
WD Parnell,Kolkata Knight Riders,1,Dr DY Patil Sports Academy
YK Pathan,Pune Warriors,29,Dr DY Patil Sports Academy
Yuvraj Singh,Kolkata Knight Riders,24,Dr DY Patil Sports Academy
AT Rayudu,Rajasthan Royals,2,Wankhede Stadium
Harbhajan Singh,Rajasthan Royals,1,Wankhede Stadium
JEC Franklin,Rajasthan Royals,11,Wankhede Stadium
KA Pollard,Rajasthan Royals,20,Wankhede Stadium
R Dravid,Mumbai Indians,43,Wankhede Stadium
RG Sharma,Rajasthan Royals,58,Wankhede Stadium
SR Tendulkar,Rajasthan Royals,31,Wankhede Stadium
SR Watson,Mumbai Indians,89,Wankhede Stadium
TL Suman,Rajasthan Royals,5,Wankhede Stadium
AC Gilchrist,Deccan Chargers,51,Himachal Pradesh Cricket Association Stadium
AM Nayar,Deccan Chargers,3,Himachal Pradesh Cricket Association Stadium
BA Bhatt,Deccan Chargers,0,Himachal Pradesh Cricket Association Stadium
CL White,Kings XI Punjab,15,Himachal Pradesh Cricket Association Stadium
DB Ravi Teja,Kings XI Punjab,60,Himachal Pradesh Cricket Association Stadium
JP Duminy,Kings XI Punjab,12,Himachal Pradesh Cricket Association Stadium
KD Karthik,Deccan Chargers,11,Himachal Pradesh Cricket Association Stadium
Mandeep Singh,Deccan Chargers,7,Himachal Pradesh Cricket Association Stadium
P Kumar,Deccan Chargers,0,Himachal Pradesh Cricket Association Stadium
PC Valthaty,Deccan Chargers,5,Himachal Pradesh Cricket Association Stadium
PP Chawla,Deccan Chargers,13,Himachal Pradesh Cricket Association Stadium
R McLaren,Deccan Chargers,9,Himachal Pradesh Cricket Association Stadium
RJ Harris,Deccan Chargers,0,Himachal Pradesh Cricket Association Stadium
S Dhawan,Kings XI Punjab,95,Himachal Pradesh Cricket Association Stadium
SE Marsh,Deccan Chargers,13,Himachal Pradesh Cricket Association Stadium
CA Ingram,Pune Warriors,13,Feroz Shah Kotla
DA Warner,Pune Warriors,19,Feroz Shah Kotla
MS Wade,Pune Warriors,11,Feroz Shah Kotla
NV Ojha,Pune Warriors,8,Feroz Shah Kotla
Y Venugopal Rao,Pune Warriors,0,Feroz Shah Kotla
AB de Villiers,Chennai Super Kings,0,M Chinnaswamy Stadium
CH Gayle,Chennai Super Kings,75,M Chinnaswamy Stadium
DJ Bravo,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
JA Morkel,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
M Vijay,Royal Challengers Bangalore,6,M Chinnaswamy Stadium
MEK Hussey,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
MS Dhoni,Royal Challengers Bangalore,70,M Chinnaswamy Stadium
R Ashwin,Royal Challengers Bangalore,2,M Chinnaswamy Stadium
S Badrinath,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
SK Raina,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
SS Tiwary,Chennai Super Kings,13,M Chinnaswamy Stadium
V Kohli,Chennai Super Kings,31,M Chinnaswamy Stadium
WP Saha,Royal Challengers Bangalore,22,M Chinnaswamy Stadium
AT Rayudu,Kolkata Knight Riders,17,Eden Gardens
G Gambhir,Mumbai Indians,8,Eden Gardens
Harbhajan Singh,Kolkata Knight Riders,30,Eden Gardens
JEC Franklin,Kolkata Knight Riders,45,Eden Gardens
JH Kallis,Mumbai Indians,59,Eden Gardens
KA Pollard,Kolkata Knight Riders,18,Eden Gardens
MK Tiwary,Mumbai Indians,35,Eden Gardens
R Bhatia,Mumbai Indians,11,Eden Gardens
RG Sharma,Kolkata Knight Riders,10,Eden Gardens
RN ten Doeschate,Mumbai Indians,18,Eden Gardens
SP Goswami,Mumbai Indians,1,Eden Gardens
SR Tendulkar,Kolkata Knight Riders,38,Eden Gardens
Shakib Al Hasan,Mumbai Indians,1,Eden Gardens
TL Suman,Kolkata Knight Riders,4,Eden Gardens
YK Pathan,Mumbai Indians,36,Eden Gardens
AB de Villiers,Chennai Super Kings,11,Wankhede Stadium
CH Gayle,Chennai Super Kings,8,Wankhede Stadium
JA Morkel,Royal Challengers Bangalore,28,Wankhede Stadium
LA Pomersbach,Chennai Super Kings,29,Wankhede Stadium
M Vijay,Royal Challengers Bangalore,5,Wankhede Stadium
MA Agarwal,Chennai Super Kings,34,Wankhede Stadium
MEK Hussey,Royal Challengers Bangalore,0,Wankhede Stadium
MS Dhoni,Royal Challengers Bangalore,29,Wankhede Stadium
S Badrinath,Royal Challengers Bangalore,34,Wankhede Stadium
SK Raina,Royal Challengers Bangalore,73,Wankhede Stadium
SS Tiwary,Chennai Super Kings,9,Wankhede Stadium
V Kohli,Chennai Super Kings,70,Wankhede Stadium
AC Blizzard,Kolkata Knight Riders,51,Wankhede Stadium
AT Rayudu,Kolkata Knight Riders,12,Wankhede Stadium
B Lee,Mumbai Indians,2,Wankhede Stadium
G Gambhir,Mumbai Indians,4,Wankhede Stadium
Harbhajan Singh,Kolkata Knight Riders,11,Wankhede Stadium
JEC Franklin,Kolkata Knight Riders,29,Wankhede Stadium
JH Kallis,Mumbai Indians,7,Wankhede Stadium
KA Pollard,Kolkata Knight Riders,3,Wankhede Stadium
MK Tiwary,Mumbai Indians,4,Wankhede Stadium
R Bhatia,Mumbai Indians,2,Wankhede Stadium
RN ten Doeschate,Mumbai Indians,70,Wankhede Stadium
SP Goswami,Mumbai Indians,0,Wankhede Stadium
SR Tendulkar,Kolkata Knight Riders,36,Wankhede Stadium
Shakib Al Hasan,Mumbai Indians,26,Wankhede Stadium
TL Suman,Kolkata Knight Riders,2,Wankhede Stadium
YK Pathan,Mumbai Indians,26,Wankhede Stadium
AB de Villiers,Mumbai Indians,21,"MA Chidambaram Stadium, Chepauk"
AC Blizzard,Royal Challengers Bangalore,10,"MA Chidambaram Stadium, Chepauk"
AN Ahmed,Royal Challengers Bangalore,18,"MA Chidambaram Stadium, Chepauk"
AT Rayudu,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk"
CH Gayle,Mumbai Indians,89,"MA Chidambaram Stadium, Chepauk"
Harbhajan Singh,Royal Challengers Bangalore,13,"MA Chidambaram Stadium, Chepauk"
JEC Franklin,Royal Challengers Bangalore,16,"MA Chidambaram Stadium, Chepauk"
KA Pollard,Royal Challengers Bangalore,3,"MA Chidambaram Stadium, Chepauk"
LA Pomersbach,Mumbai Indians,4,"MA Chidambaram Stadium, Chepauk"
MA Agarwal,Mumbai Indians,41,"MA Chidambaram Stadium, Chepauk"
R Sathish,Royal Challengers Bangalore,18,"MA Chidambaram Stadium, Chepauk"
RG Sharma,Royal Challengers Bangalore,13,"MA Chidambaram Stadium, Chepauk"
SL Malinga,Royal Challengers Bangalore,7,"MA Chidambaram Stadium, Chepauk"
SR Tendulkar,Royal Challengers Bangalore,40,"MA Chidambaram Stadium, Chepauk"
SS Tiwary,Mumbai Indians,8,"MA Chidambaram Stadium, Chepauk"
V Kohli,Mumbai Indians,8,"MA Chidambaram Stadium, Chepauk"
A Mithun,Chennai Super Kings,11,"MA Chidambaram Stadium, Chepauk"
AB de Villiers,Chennai Super Kings,18,"MA Chidambaram Stadium, Chepauk"
CH Gayle,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,Royal Challengers Bangalore,6,"MA Chidambaram Stadium, Chepauk"
DL Vettori,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
J Syed Mohammad,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Royal Challengers Bangalore,2,"MA Chidambaram Stadium, Chepauk"
LA Pomersbach,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
M Vijay,Royal Challengers Bangalore,95,"MA Chidambaram Stadium, Chepauk"
MA Agarwal,Chennai Super Kings,10,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Royal Challengers Bangalore,63,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Royal Challengers Bangalore,22,"MA Chidambaram Stadium, Chepauk"
SK Raina,Royal Challengers Bangalore,8,"MA Chidambaram Stadium, Chepauk"
SS Tiwary,Chennai Super Kings,42,"MA Chidambaram Stadium, Chepauk"
V Kohli,Chennai Super Kings,35,"MA Chidambaram Stadium, Chepauk"
Z Khan,Chennai Super Kings,21,"MA Chidambaram Stadium, Chepauk"
AT Rayudu,Chennai Super Kings,18,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,Mumbai Indians,3,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,Mumbai Indians,19,"MA Chidambaram Stadium, Chepauk"
F du Plessis,Mumbai Indians,3,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Mumbai Indians,3,"MA Chidambaram Stadium, Chepauk"
JEC Franklin,Chennai Super Kings,25,"MA Chidambaram Stadium, Chepauk"
M Vijay,Mumbai Indians,10,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Mumbai Indians,4,"MA Chidambaram Stadium, Chepauk"
R Ashwin,Mumbai Indians,3,"MA Chidambaram Stadium, Chepauk"
RA Jadeja,Mumbai Indians,3,"MA Chidambaram Stadium, Chepauk"
RE Levi,Chennai Super Kings,50,"MA Chidambaram Stadium, Chepauk"
RG Sharma,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Mumbai Indians,10,"MA Chidambaram Stadium, Chepauk"
SB Jakati,Mumbai Indians,6,"MA Chidambaram Stadium, Chepauk"
SK Raina,Mumbai Indians,36,"MA Chidambaram Stadium, Chepauk"
SR Tendulkar,Chennai Super Kings,16,"MA Chidambaram Stadium, Chepauk"
AJ Finch,Kolkata Knight Riders,30,Eden Gardens
B Lee,Delhi Daredevils,9,Eden Gardens
BB McCullum,Delhi Daredevils,9,Eden Gardens
DB Das,Delhi Daredevils,18,Eden Gardens
G Gambhir,Delhi Daredevils,16,Eden Gardens
GJ Maxwell,Kolkata Knight Riders,3,Eden Gardens
IK Pathan,Kolkata Knight Riders,42,Eden Gardens
Iqbal Abdulla,Delhi Daredevils,1,Eden Gardens
JH Kallis,Delhi Daredevils,4,Eden Gardens
LR Shukla,Delhi Daredevils,26,Eden Gardens
MK Tiwary,Delhi Daredevils,0,Eden Gardens
R Bhatia,Delhi Daredevils,7,Eden Gardens
V Sehwag,Kolkata Knight Riders,20,Eden Gardens
YK Pathan,Delhi Daredevils,0,Eden Gardens
AT Rayudu,Pune Warriors,1,Wankhede Stadium
B Kumar,Mumbai Indians,2,Wankhede Stadium
CJ Ferguson,Mumbai Indians,12,Wankhede Stadium
Harbhajan Singh,Pune Warriors,16,Wankhede Stadium
JEC Franklin,Pune Warriors,32,Wankhede Stadium
KA Pollard,Pune Warriors,8,Wankhede Stadium
KD Karthik,Pune Warriors,32,Wankhede Stadium
M Kartik,Mumbai Indians,14,Wankhede Stadium
MK Pandey,Mumbai Indians,0,Wankhede Stadium
MM Patel,Pune Warriors,1,Wankhede Stadium
MN Samuels,Mumbai Indians,4,Wankhede Stadium
PP Ojha,Pune Warriors,0,Wankhede Stadium
RE Levi,Pune Warriors,0,Wankhede Stadium
RG Sharma,Pune Warriors,1,Wankhede Stadium
RV Uthappa,Mumbai Indians,36,Wankhede Stadium
SA Yadav,Pune Warriors,0,Wankhede Stadium
SC Ganguly,Mumbai Indians,3,Wankhede Stadium
SL Malinga,Pune Warriors,5,Wankhede Stadium
SPD Smith,Mumbai Indians,39,Wankhede Stadium
WD Parnell,Mumbai Indians,11,Wankhede Stadium
AC Gilchrist,Rajasthan Royals,27,Sawai Mansingh Stadium
AL Menaria,Kings XI Punjab,0,Sawai Mansingh Stadium
AM Nayar,Rajasthan Royals,10,Sawai Mansingh Stadium
AM Rahane,Kings XI Punjab,98,Sawai Mansingh Stadium
BJ Hodge,Kings XI Punjab,21,Sawai Mansingh Stadium
Bipul Sharma,Rajasthan Royals,18,Sawai Mansingh Stadium
DJ Hussey,Rajasthan Royals,13,Sawai Mansingh Stadium
Harmeet Singh,Rajasthan Royals,1,Sawai Mansingh Stadium
JP Faulkner,Rajasthan Royals,11,Sawai Mansingh Stadium
KK Cooper,Kings XI Punjab,11,Sawai Mansingh Stadium
Mandeep Singh,Rajasthan Royals,34,Sawai Mansingh Stadium
OA Shah,Kings XI Punjab,14,Sawai Mansingh Stadium
P Kumar,Rajasthan Royals,10,Sawai Mansingh Stadium
PC Valthaty,Rajasthan Royals,13,Sawai Mansingh Stadium
PP Chawla,Rajasthan Royals,10,Sawai Mansingh Stadium
R Dravid,Kings XI Punjab,28,Sawai Mansingh Stadium
SE Marsh,Rajasthan Royals,7,Sawai Mansingh Stadium
AB McDonald,Delhi Daredevils,30,M Chinnaswamy Stadium
AB de Villiers,Delhi Daredevils,64,M Chinnaswamy Stadium
AJ Finch,Royal Challengers Bangalore,25,M Chinnaswamy Stadium
CA Pujara,Delhi Daredevils,11,M Chinnaswamy Stadium
DAJ Bracewell,Royal Challengers Bangalore,12,M Chinnaswamy Stadium
DL Vettori,Delhi Daredevils,3,M Chinnaswamy Stadium
GJ Maxwell,Royal Challengers Bangalore,3,M Chinnaswamy Stadium
HV Patel,Delhi Daredevils,0,M Chinnaswamy Stadium
IK Pathan,Royal Challengers Bangalore,24,M Chinnaswamy Stadium
M Morkel,Royal Challengers Bangalore,2,M Chinnaswamy Stadium
MA Agarwal,Delhi Daredevils,16,M Chinnaswamy Stadium
NV Ojha,Royal Challengers Bangalore,33,M Chinnaswamy Stadium
R Vinay Kumar,Delhi Daredevils,18,M Chinnaswamy Stadium
SS Tiwary,Delhi Daredevils,1,M Chinnaswamy Stadium
V Kohli,Delhi Daredevils,8,M Chinnaswamy Stadium
V Sehwag,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
Y Nagar,Royal Challengers Bangalore,16,M Chinnaswamy Stadium
Y Venugopal Rao,Royal Challengers Bangalore,18,M Chinnaswamy Stadium
Ankit Sharma,Chennai Super Kings,15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
B Chipli,Chennai Super Kings,10,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
CL White,Chennai Super Kings,23,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DB Ravi Teja,Chennai Super Kings,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DJ Bravo,Deccan Chargers,43,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DJ Harris,Chennai Super Kings,15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DT Christian,Chennai Super Kings,2,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DW Steyn,Chennai Super Kings,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
F du Plessis,Deccan Chargers,39,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
JA Morkel,Deccan Chargers,2,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
M Vijay,Deccan Chargers,2,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
MS Dhoni,Deccan Chargers,7,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
MS Gony,Chennai Super Kings,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
PA Patel,Chennai Super Kings,20,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
RA Jadeja,Deccan Chargers,48,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
S Badrinath,Deccan Chargers,25,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
S Dhawan,Chennai Super Kings,21,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
SK Raina,Deccan Chargers,16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
AL Menaria,Kolkata Knight Riders,40,Sawai Mansingh Stadium
AM Rahane,Kolkata Knight Riders,0,Sawai Mansingh Stadium
B Lee,Rajasthan Royals,25,Sawai Mansingh Stadium
BB McCullum,Rajasthan Royals,2,Sawai Mansingh Stadium
BJ Hodge,Kolkata Knight Riders,44,Sawai Mansingh Stadium
DB Das,Rajasthan Royals,12,Sawai Mansingh Stadium
G Gambhir,Rajasthan Royals,0,Sawai Mansingh Stadium
Iqbal Abdulla,Rajasthan Royals,1,Sawai Mansingh Stadium
JH Kallis,Rajasthan Royals,5,Sawai Mansingh Stadium
KK Cooper,Kolkata Knight Riders,5,Sawai Mansingh Stadium
LR Shukla,Rajasthan Royals,8,Sawai Mansingh Stadium
MK Tiwary,Rajasthan Royals,59,Sawai Mansingh Stadium
OA Shah,Kolkata Knight Riders,23,Sawai Mansingh Stadium
R Bhatia,Rajasthan Royals,8,Sawai Mansingh Stadium
R Dravid,Kolkata Knight Riders,26,Sawai Mansingh Stadium
SP Goswami,Kolkata Knight Riders,23,Sawai Mansingh Stadium
SP Narine,Rajasthan Royals,0,Sawai Mansingh Stadium
YK Pathan,Rajasthan Royals,15,Sawai Mansingh Stadium
AC Gilchrist,Pune Warriors,6,Subrata Roy Sahara Stadium
AD Mascarenhas,Pune Warriors,5,Subrata Roy Sahara Stadium
AM Nayar,Pune Warriors,24,Subrata Roy Sahara Stadium
Bipul Sharma,Pune Warriors,35,Subrata Roy Sahara Stadium
CJ Ferguson,Kings XI Punjab,3,Subrata Roy Sahara Stadium
DJ Hussey,Pune Warriors,18,Subrata Roy Sahara Stadium
JD Ryder,Kings XI Punjab,8,Subrata Roy Sahara Stadium
JP Faulkner,Pune Warriors,3,Subrata Roy Sahara Stadium
MK Pandey,Kings XI Punjab,12,Subrata Roy Sahara Stadium
MN Samuels,Kings XI Punjab,46,Subrata Roy Sahara Stadium
Mandeep Singh,Pune Warriors,24,Subrata Roy Sahara Stadium
P Kumar,Pune Warriors,1,Subrata Roy Sahara Stadium
PC Valthaty,Pune Warriors,1,Subrata Roy Sahara Stadium
PP Chawla,Pune Warriors,16,Subrata Roy Sahara Stadium
R Sharma,Kings XI Punjab,0,Subrata Roy Sahara Stadium
RV Uthappa,Kings XI Punjab,40,Subrata Roy Sahara Stadium
SC Ganguly,Kings XI Punjab,20,Subrata Roy Sahara Stadium
SPD Smith,Kings XI Punjab,25,Subrata Roy Sahara Stadium
A Mishra,Mumbai Indians,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
AT Rayudu,Deccan Chargers,19,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Ankit Sharma,Mumbai Indians,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
B Chipli,Mumbai Indians,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
CL White,Mumbai Indians,30,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DB Ravi Teja,Mumbai Indians,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DT Christian,Mumbai Indians,39,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DW Steyn,Mumbai Indians,2,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
JEC Franklin,Deccan Chargers,7,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
KA Pollard,Deccan Chargers,24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
KC Sangakkara,Mumbai Indians,14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
KD Karthik,Deccan Chargers,7,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
PA Patel,Mumbai Indians,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
RE Levi,Deccan Chargers,3,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
RG Sharma,Deccan Chargers,73,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
S Dhawan,Mumbai Indians,41,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
TL Suman,Deccan Chargers,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
AB de Villiers,Kolkata Knight Riders,10,M Chinnaswamy Stadium
B Lee,Royal Challengers Bangalore,8,M Chinnaswamy Stadium
CA Pujara,Kolkata Knight Riders,6,M Chinnaswamy Stadium
CH Gayle,Kolkata Knight Riders,2,M Chinnaswamy Stadium
DL Vettori,Kolkata Knight Riders,20,M Chinnaswamy Stadium
